"","Survived","Pclass","Sex","segmento_edad","FarePerson","nfamiliares"
"706",0,"2","male","30-39",13,2
"707",1,"2","female","40-49",13.5,2
"708",1,"1","male","40-49",26.29,2
"709",1,"1","female","20-29",37.89,2
"710",1,"3","male","0-9",7.62,4
"711",1,"1","female","20-29",49.5,2
"712",0,"1","male","30-39",26.55,2
"713",1,"1","male","40-49",26,3
"714",0,"3","male","20-29",9.48,2
"715",0,"2","male","50-59",6.5,2
"716",0,"3","male","10-19",7.65,2
"717",1,"1","female","30-39",56.88,2
"718",1,"2","female","20-29",10.5,2
"719",0,"3","male","30-39",15.5,2
"720",0,"3","male","30-39",7.78,2
"721",1,"2","female","0-9",11,3
"722",0,"3","male","10-19",7.05,3
"723",0,"2","male","30-39",13,2
"724",0,"2","male","40-49",13,2
"725",1,"1","male","20-29",26.55,3
"726",0,"3","male","10-19",8.66,2
"727",1,"2","female","20-29",10.5,5
"728",1,"3","female","20-29",7.74,2
"729",0,"2","male","20-29",26,3
"730",0,"3","female","20-29",7.92,3
"731",1,"1","female","20-29",70.45,2
"732",0,"3","male","10-19",9.39,2
"733",0,"2","male","30-39",0,2
"734",0,"2","male","20-29",13,2
"735",0,"2","male","20-29",13,2
"736",0,"3","male","20-29",8.05,2
"737",0,"3","female","40-49",8.59,6
"738",1,"1","male","30-39",170.78,2
"739",0,"3","male","30-39",7.9,2
"740",0,"3","male","30-39",7.9,2
"741",1,"1","male","30-39",30,2
"742",0,"1","male","30-39",39.42,3
"743",1,"1","female","20-29",131.19,6
"744",0,"3","male","20-29",16.1,3
"745",1,"3","male","30-39",7.92,2
"746",0,"1","male","60-69",35.5,4
"747",0,"3","male","10-19",10.12,4
"748",1,"2","female","20-29",13,2
"749",0,"1","male","10-19",53.1,3
"750",0,"3","male","30-39",7.75,2
"751",1,"2","female","0-9",23,4
"752",1,"3","male","0-9",6.24,3
"753",0,"3","male","30-39",9.5,2
"754",0,"3","male","20-29",7.9,2
"755",1,"2","female","40-49",32.5,5
"756",1,"2","male","0-9",7.25,4
"757",0,"3","male","20-29",7.8,2
"758",0,"2","male","10-19",11.5,2
"759",0,"3","male","30-39",8.05,2
"760",1,"1","female","30-39",28.83,2
"761",0,"3","male","30-39",7.25,2
"762",0,"3","male","40-49",7.12,2
"763",1,"3","male","10-19",7.23,2
"764",1,"1","female","30-39",30,5
"765",0,"3","male","10-19",7.78,2
"766",1,"1","female","50-59",25.99,3
"767",0,"1","male","40-49",39.6,2
"768",0,"3","female","30-39",7.75,2
"769",0,"3","male","30-39",8.05,3
"770",0,"3","male","30-39",8.36,2
"771",0,"3","male","20-29",9.5,2
"772",0,"3","male","40-49",7.85,2
"773",0,"2","female","50-59",5.25,2
"774",0,"3","male","30-39",7.22,2
"775",1,"2","female","50-59",23,6
"776",0,"3","male","10-19",7.75,2
"777",0,"3","male","30-39",7.75,2
"778",1,"3","female","0-9",6.24,2
"779",0,"3","male","30-39",7.74,2
"780",1,"1","female","40-49",70.45,3
"781",1,"3","female","10-19",7.23,2
"782",1,"1","female","10-19",28.5,3
"783",0,"1","male","20-29",30,2
"784",0,"3","male","30-39",11.72,5
"785",0,"3","male","20-29",7.05,2
"786",0,"3","male","20-29",7.25,2
"787",1,"3","female","10-19",7.5,2
"788",0,"3","male","0-9",5.82,7
"789",1,"3","male","0-9",10.29,5
"790",0,"1","male","40-49",39.6,2
"791",0,"3","male","30-39",7.75,2
"792",0,"2","male","10-19",13,2
"793",0,"3","female","20-29",9.94,10
"794",0,"1","male","30-39",30.7,2
"795",0,"3","male","20-29",7.9,2
"796",0,"2","male","30-39",13,2
"797",1,"1","female","40-49",25.93,2
"798",1,"3","female","30-39",8.68,2
"799",0,"3","male","20-29",7.23,2
"800",0,"3","female","20-29",8.05,4
"801",0,"2","male","30-39",6.5,2
"802",1,"2","female","30-39",8.75,4
"803",1,"1","male","10-19",30,5
"804",1,"3","male","0-9",8.52,3
"805",1,"3","male","20-29",6.97,2
"806",0,"3","male","30-39",7.78,2
"807",0,"1","male","30-39",0,2
"808",0,"3","female","10-19",7.78,2
"809",0,"2","male","30-39",13,2
"810",1,"1","female","30-39",26.55,3
"811",0,"3","male","20-29",7.89,2
"812",0,"3","male","30-39",12.07,2
"813",0,"2","male","30-39",10.5,2
"814",0,"3","female","0-9",4.47,8
"815",0,"3","male","30-39",8.05,2
"816",0,"1","male","30-39",0,2
"817",0,"3","female","20-29",7.92,2
"818",0,"2","male","30-39",18.5,4
"819",0,"3","male","40-49",6.45,2
"820",0,"3","male","0-9",4.65,7
"821",1,"1","female","50-59",46.75,4
"822",1,"3","male","20-29",8.66,2
"823",0,"1","male","30-39",0,2
"824",1,"3","female","20-29",6.24,3
"825",0,"3","male","0-9",6.61,7
"826",0,"3","male","30-39",6.95,2
"827",0,"3","male","30-39",8.07,2
"828",1,"2","male","0-9",18.5,4
"829",1,"3","male","30-39",7.75,2
"830",1,"1","female","60-69",40,2
"831",1,"3","female","10-19",7.23,3
"832",1,"2","male","0-9",6.25,4
"833",0,"3","male","30-39",7.23,2
"834",0,"3","male","20-29",7.85,2
"835",0,"3","male","10-19",8.3,2
"836",1,"1","female","30-39",83.16,4
"837",0,"3","male","20-29",8.66,2
"838",0,"3","male","30-39",8.05,2
"839",1,"3","male","30-39",8.07,2
"840",1,"1","male","30-39",29.7,2
"841",0,"3","male","10-19",7.92,2
"842",0,"2","male","10-19",5.25,2
"843",1,"1","female","20-29",15.5,2
"844",0,"3","male","30-39",6.44,2
"845",0,"3","male","10-19",8.66,2
"846",0,"3","male","40-49",7.55,2
"847",0,"3","male","30-39",9.94,10
"848",0,"3","male","30-39",7.9,2
"849",0,"2","male","20-29",11,3
"850",1,"1","female","30-39",44.55,3
"851",0,"3","male","0-9",4.47,8
"852",0,"3","male","70-80",7.78,2
"853",0,"3","female","0-9",7.62,4
"854",1,"1","female","10-19",39.4,3
"855",0,"2","female","40-49",13,3
"856",1,"3","female","10-19",9.35,3
"857",1,"1","female","40-49",82.43,4
"858",1,"1","male","50-59",26.55,2
"859",1,"3","female","20-29",4.81,5
"860",0,"3","male","30-39",7.23,2
"861",0,"3","male","40-49",14.11,4
"862",0,"2","male","20-29",11.5,3
"863",1,"1","female","40-49",25.93,2
"864",0,"3","female","20-29",9.94,10
"865",0,"2","male","20-29",13,2
"866",1,"2","female","40-49",13,2
"867",1,"2","female","20-29",13.86,3
"868",0,"1","male","30-39",50.5,2
"869",0,"3","male","30-39",9.5,2
"870",1,"3","male","0-9",3.71,4
"871",0,"3","male","20-29",7.9,2
"872",1,"1","female","40-49",26.28,4
"873",0,"1","male","30-39",5,2
"874",0,"3","male","40-49",9,2
"875",1,"2","female","20-29",12,3
"876",1,"3","female","10-19",7.22,2
"877",0,"3","male","10-19",4.92,2
"878",0,"3","male","10-19",7.9,2
"879",0,"3","male","30-39",7.9,2
"880",1,"1","female","50-59",41.58,3
"881",1,"2","female","20-29",13,3
"882",0,"3","male","30-39",7.9,2
"883",0,"3","female","20-29",10.52,2
"884",0,"2","male","20-29",10.5,2
"885",0,"3","male","20-29",7.05,2
"886",0,"3","female","30-39",5.82,7
"887",0,"2","male","20-29",13,2
"888",1,"1","female","10-19",30,2
"889",0,"3","female","20-29",11.72,5
"890",1,"1","male","20-29",30,2
"891",0,"3","male","30-39",7.75,2
